live on -,～で暮らしを立てる
get rid of -,～を取り除く
break out,発生する
on time,時間通りに、遅れずに
stick to -,～に執着する
look forward to -,～を楽しみにして待つ、期待する
throw away -,～を捨てる
look up to -,～を（崇めるように）尊敬する
divide A into B,AをBに分ける、分割する
according to -,～によると
find out -,～を解明する
lean against -,～に寄りかかる
point to -,～を示す
lock up,戸締りをする
stand for -,～を表す
unside down,逆さまに
long for -,～を待ち望む
put out -,～を消す
hang up,電話を切る
get back at -,～に仕返しをする
focus on -,～に集中させる、焦点を当てる
before long,間もなく
for ages,とても長い間
catch up with -,～に追いつく
inform A of B,AにBを知らせる
one another,お互いに
succeed in -,～に成功する
participate in -,～に参加する
get over -,～を克服する
bring up -,～を持ち出す、提案する
lie down,一休みする
point out -,～を指摘する
from now on,これからは
be satisfied with -,～に満足している
pack up -,～を荷造りする
that is,つまり、すなわち
in a hurry,急いで、慌てて
take advantage of -,～を利用する
call off -,～をキャンセルする
as scheduled,予定通り
be responsible for -,～に責任がある
on business,仕事で、商用で
report on -,～について報告する
consult with -,～と相談する、話し合う
run out of -,～を使い果たす
hand out -,～を配る
turn on -,～をつける
prefer A to B,BよりAを好む
lead to -,～に至る、達する
depend on -,～に頼る
be filled with -,～で一杯である
head for -,～に向かって進む
be sick and tired of -,～にうんざりしている
as long as -,～である限りは
get together,会う
show off -,～を見せびらかす
turn off -,～を消す
find fault with -,～のあらを探す
one after another,次々に
be based on -,～に基づいている
account for -,～（の理由）を説明する
for instance,たとえば
put up with -,～に我慢する
in place of -,～の代わりに
be tired from -,～で疲れる
put off -,～を延期する
be familiar with -,～に精通している
ask A for B,AにBを求める
in time,間に合って <for>
stand out,目立つ
in addition to -,～に加えて
look down on -,～を見下す
consist of -,～から成る
recover from -,～から回復する
call on -,～を訪問する
apply for -,～に申し込む
make use of -,～を利用する
for repairs,修理のため
result from -,～から生じる
take place,行われる、起こる
work on -,～に取り組む
respond to -,～に返答する
take - for granted,～を当然のことと思う
regard A as B,AをBとみなす
in the long run,最後には
cope with,～に対処する
bring about -,～を引き起こす
be used to -,～に慣れている
be engarged in -,～に従事する
search for -,～を探す
carry out -,～を成し遂げる
remind A of B,AにBを思い出させる
next to -,～の隣に、ほとんど
be famous for -,～で有名である
adapt to -,～に順応する
instead of -,～の代わりに
get along with -,～とうまくやっていく
give in,屈する、従う
break down,故障する
agree with -,～に賛成する
pick up -,～を車で迎えに行く、～を拾う
thanks to -,～のおかげで
hand in -,～を提出する
take part in -,～に参加する
refrain from -,～を慎む
look for -,～を捜す、求める
take after -,～（肉親のだれか）に似る
count on -,～を当てにする
be full of -,～で一杯である
be aware of -,～に気付いている
at a cost of -,～の費用で
deal with -,～を扱う
take care of -,～の世話をする、～に注意する
add A to B,AをBに加える
send for -,～を呼ぶ、取り寄せる
be tired of -,～に飽きる
at the rate of -,～の割合で
for sale,売り物の
take over -,～を引き継ぐ
market,市場、相場
fire,～を解雇する
operate,～を操縦する、運転する
wool,羊毛
local,地元の
consumer,消費者
hire,～を雇う
technology,科学技術
wage,賃金
data,データ
shuttle,シャトルバス
lecture,講義
protest,抗議する
firm,会社
manager,部長、課長
employer,雇用者
workshop,研修会
press,報道、報道関係者
report,報告書
director,取締役、局長
position,職、地位
export,～を輸出する
import,～を輸入する
introduction,導入、紹介
